instance,algorithm,run,makespan,time
MFJS4,ACSp,13,744,31
MFJS4,ACSp,14,768,14
MFJS4,ACSp,15,794,14
MFJS4,ACSp,16,705,23
MFJS4,ACSp,17,755,24
MFJS4,ACSp,18,704,26
MFJS4,ACSp,19,757,18
MFJS4,ACSp,20,712,24
MFJS4,ACSp,21,722,28
MFJS4,ACSp,22,696,33
MFJS4,ACSp,23,677,14
MFJS4,ACSp,24,759,15
MFJS4,ACSp,25,794,15
MFJS4,ACSp,26,778,39
MFJS4,ACSp,27,698,16
MFJS4,ACSp,28,713,35
MFJS4,ACSp,29,630,26
MFJS4,ACSp,30,712,14
MFJS4,ECT,1,940,0
MFJS4,ECT,2,940,0
MFJS4,ECT,3,940,0
MFJS4,ECT,4,940,0
MFJS4,ECT,5,940,0
MFJS4,ECT,6,940,0
MFJS4,ECT,7,940,0
MFJS4,ECT,8,940,0
MFJS4,ECT,9,940,0
MFJS4,ECT,10,940,0
MFJS4,ECT,11,940,0
MFJS4,ECT,12,940,0
MFJS4,ECT,13,940,0
MFJS4,ECT,14,940,0
MFJS4,ECT,15,940,0
MFJS4,ECT,16,940,0
MFJS4,ECT,17,940,0
MFJS4,ECT,18,940,0
MFJS4,ECT,19,940,0
MFJS4,ECT,20,940,0
MFJS4,ECT,21,940,0
MFJS4,ECT,22,940,0
MFJS4,ECT,23,940,0
MFJS4,ECT,24,940,0
MFJS4,ECT,25,940,0
MFJS4,ECT,26,940,0
MFJS4,ECT,27,940,0
MFJS4,ECT,28,940,0
MFJS4,ECT,29,940,0
MFJS4,ECT,30,940,0
MFJS5,ACSi,1,730,49
MFJS5,ACSi,2,665,54
MFJS5,ACSi,3,643,64
MFJS5,ACSi,4,684,53
MFJS5,ACSi,5,680,71
MFJS5,ACSi,6,684,71
MFJS5,ACSi,7,694,63
MFJS5,ACSi,8,680,62
MFJS5,ACSi,9,687,42
MFJS5,ACSi,10,700,67
MFJS5,ACSi,11,731,62
MFJS5,ACSi,12,667,38
MFJS5,ACSi,13,712,58
MFJS5,ACSi,14,751,41
MFJS5,ACSi,15,701,73
MFJS5,ACSi,16,680,83
MFJS5,ACSi,17,729,58
MFJS5,ACSi,18,664,34
MFJS5,ACSi,19,715,57
MFJS5,ACSi,20,729,69
MFJS5,ACSi,21,818,19
MFJS5,ACSi,22,651,24
MFJS5,ACSi,23,678,28
MFJS5,ACSi,24,728,16
MFJS5,ACSi,25,612,28
MFJS5,ACSi,26,716,14
MFJS5,ACSi,27,680,24
MFJS5,ACSi,28,724,10
MFJS5,ACSi,29,699,18
MFJS5,ACSi,30,647,16
MFJS5,ACSp,1,628,32
MFJS5,ACSp,2,612,23
MFJS5,ACSp,3,699,33
MFJS5,ACSp,4,740,20
MFJS5,ACSp,5,741,15
MFJS5,ACSp,6,726,12
MFJS5,ACSp,7,737,25
MFJS5,ACSp,8,719,16
MFJS5,ACSp,9,697,16
MFJS5,ACSp,10,790,14
MFJS5,ACSp,11,762,24
MFJS5,ACSp,12,633,44
MFJS5,ACSp,13,718,30
MFJS5,ACSp,14,762,29
MFJS5,ACSp,15,663,21
MFJS5,ACSp,16,701,33
MFJS5,ACSp,17,612,30
MFJS5,ACSp,18,645,18
MFJS5,ACSp,19,736,30
MFJS5,ACSp,20,633,27
MFJS5,ACSp,21,703,33
MFJS5,ACSp,22,677,31
MFJS5,ACSp,23,734,24
MFJS5,ACSp,24,701,26
MFJS5,ACSp,25,681,20
MFJS5,ACSp,26,736,19
MFJS5,ACSp,27,708,20
MFJS5,ACSp,28,735,21
MFJS5,ACSp,29,726,20
MFJS5,ACSp,30,638,25
MFJS5,ECT,1,875,0
MFJS5,ECT,2,875,0
MFJS5,ECT,3,875,0
MFJS5,ECT,4,875,0
MFJS5,ECT,5,875,0
MFJS5,ECT,6,875,0
MFJS5,ECT,7,875,0
MFJS5,ECT,8,875,0
MFJS5,ECT,9,875,0
MFJS5,ECT,10,875,0
MFJS5,ECT,11,875,0
MFJS5,ECT,12,875,0
MFJS5,ECT,13,875,0
MFJS5,ECT,14,875,0
MFJS5,ECT,15,875,0
MFJS5,ECT,16,875,0
MFJS5,ECT,17,875,0
MFJS5,ECT,18,875,0
MFJS5,ECT,19,875,0
MFJS5,ECT,20,875,0
MFJS5,ECT,21,875,0
MFJS5,ECT,22,875,0
MFJS5,ECT,23,875,0
MFJS5,ECT,24,875,0
MFJS5,ECT,25,875,0
MFJS5,ECT,26,875,0
MFJS5,ECT,27,875,0
MFJS5,ECT,28,875,0
MFJS5,ECT,29,875,0
MFJS5,ECT,30,875,0
MFJS6,ACSi,1,959,43
MFJS6,ACSi,2,892,73
MFJS6,ACSi,3,1020,36
MFJS6,ACSi,4,949,38
MFJS6,ACSi,5,933,60
MFJS6,ACSi,6,905,66
MFJS6,ACSi,7,992,120
MFJS6,ACSi,8,877,46
MFJS6,ACSi,9,991,40
MFJS6,ACSi,10,791,44
MFJS6,ACSi,11,989,46
MFJS6,ACSi,12,968,41
MFJS6,ACSi,13,1038,38
MFJS6,ACSi,14,912,58
MFJS6,ACSi,15,936,71
MFJS6,ACSi,16,871,101
MFJS6,ACSi,17,1019,38
MFJS6,ACSi,18,895,66
MFJS6,ACSi,19,974,49
MFJS6,ACSi,20,903,58
MFJS6,ACSi,21,1046,27
MFJS6,ACSi,22,888,24
MFJS6,ACSi,23,981,14
MFJS6,ACSi,24,880,25
MFJS6,ACSi,25,903,21
MFJS6,ACSi,26,857,23
MFJS6,ACSi,27,846,15
MFJS6,ACSi,28,894,21
MFJS6,ACSi,29,977,28
MFJS6,ACSi,30,903,16
MFJS6,ACSp,1,1056,31
MFJS6,ACSp,2,909,34
MFJS6,ACSp,3,968,18
MFJS6,ACSp,4,944,29
MFJS6,ACSp,5,990,19
MFJS6,ACSp,6,965,16
MFJS6,ACSp,7,1039,15
MFJS6,ACSp,8,1016,24
MFJS6,ACSp,9,979,16
MFJS6,ACSp,10,846,21
MFJS6,ACSp,11,814,39
MFJS6,ACSp,12,894,22
MFJS6,ACSp,13,917,31
MFJS6,ACSp,14,999,19
MFJS6,ACSp,15,920,31
MFJS6,ACSp,16,930,20
MFJS6,ACSp,17,922,27
MFJS6,ACSp,18,929,31
MFJS6,ACSp,19,969,15
MFJS6,ACSp,20,987,19
MFJS6,ACSp,21,894,26
MFJS6,ACSp,22,927,27
MFJS6,ACSp,23,928,18
MFJS6,ACSp,24,922,22
MFJS6,ACSp,25,962,24
MFJS6,ACSp,26,864,26
MFJS6,ACSp,27,981,29
MFJS6,ACSp,28,930,40
MFJS6,ACSp,29,939,19
MFJS6,ACSp,30,955,18
MFJS6,ECT,1,1133,0
MFJS6,ECT,2,1133,0
MFJS6,ECT,3,1133,0
MFJS6,ECT,4,1133,0
MFJS6,ECT,5,1133,0
MFJS6,ECT,6,1133,0
MFJS6,ECT,7,1133,0
MFJS6,ECT,8,1133,0
MFJS6,ECT,9,1133,0
MFJS6,ECT,10,1133,0
MFJS6,ECT,11,1133,0
MFJS6,ECT,12,1133,0
MFJS6,ECT,13,1133,0
MFJS6,ECT,14,1133,0
MFJS6,ECT,15,1133,0
