Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Fattahi18;iterative;MMASV2;1308;1412,00;1525;79,86;39;47,30;55;6,78
Fattahi18;parallel;MMASV2;1293;1420,20;1527;81,81;21;25,20;46;7,58
Fattahi18;parallel;EASV2;1284;1374,00;1490;73,57;24;28,20;52;8,48
Fattahi18;iterative;EASV2;1276;1418,60;1496;67,39;42;51,80;60;6,37
Fattahi18;iterative;ASV2;1298;1430,30;1608;97,35;45;56,30;62;6,22
Fattahi18;parallel;ACSV2;1279;1494,60;1592;93,73;14;18,80;40;7,73
Fattahi18;parallel;ASV2;1229;1369,60;1518;89,96;23;30,10;52;8,28
Fattahi18;iterative;RBASV2;1196;1372,10;1542;107,77;43;55,00;63;7,06
Fattahi19;parallel;RBASV2;1510;1657,00;1814;95,13;38;45,30;69;8,73
Fattahi19;iterative;MMASV2;1602;1726,90;1858;93,60;64;78,80;93;9,74
Fattahi19;parallel;EASV2;1622;1754,30;1850;66,05;39;49,20;65;7,22
Fattahi19;iterative;greedy;2740;2740,00;2740;0,00;0;0,00;0;0,00
Fattahi19;parallel;ACSV2;1772;1885,30;2012;90,07;18;24,70;45;8,29
Fattahi19;iterative;ASV2;1655;1778,60;1888;71,38;73;87,70;100;9,27
Fattahi19;parallel;MMASV2;1647;1836,80;1935;91,49;30;36,40;55;7,34
Fattahi19;parallel;ASV2;1666;1745,50;1849;53,77;37;44,20;64;7,48
Fattahi19;iterative;EASV2;1577;1701,60;1844;87,39;74;88,50;98;8,42
Fattahi19;iterative;ACSV2;1624;1824,90;1982;102,05;46;61,20;74;8,92
Fattahi19;iterative;RBASV2;1570;1690,50;1782;73,20;71;86,30;98;9,10
Fattahi2;iterative;RBASV2;107;113,30;128;10,14;0;1,60;15;4,72
Fattahi2;iterative;MMASV2;107;109,10;128;6,64;0;2,00;12;3,62
Fattahi2;parallel;MMASV2;107;107,00;107;0,00;1;3,60;23;6,83
Fattahi2;parallel;EASV2;107;114,00;135;11,43;1;3,40;23;6,90
Fattahi2;iterative;ACSV2;107;107,00;107;0,00;2;3,10;12;3,14
Fattahi2;iterative;EASV2;107;113,30;128;10,14;0;1,30;13;4,11
Fattahi2;parallel;ASV2;107;114,00;135;11,43;1;3,10;22;6,64
Fattahi2;iterative;ASV2;107;116,10;135;11,92;0;1,30;12;3,77
Fattahi2;parallel;RBASV2;107;107,00;107;0,00;1;3,80;27;8,16
Fattahi2;parallel;ACSV2;107;107,00;107;0,00;2;4,70;25;7,17
Fattahi2;iterative;greedy;128;128,00;128;0,00;0;0,00;0;0,00
Fattahi20;iterative;greedy;2965;2965,00;2965;0,00;0;0,00;0;0,00
Fattahi20;iterative;RBASV2;1879;1981,90;2125;88,34;55;101,80;119;18,96
Fattahi20;parallel;MMASV2;1958;2052,80;2214;75,11;32;39,60;60;7,73
Fattahi20;parallel;RBASV2;1881;1975,90;2104;68,56;42;50,40;75;9,25
Fattahi20;parallel;EASV2;1844;2029,90;2274;135,49;41;52,70;74;10,24
Fattahi20;parallel;ASV2;1822;2010,80;2141;120,59;40;49,10;72;8,92
Fattahi20;iterative;MMASV2;1942;2062,80;2149;60,25;78;96,50;113;12,01
Fattahi20;parallel;ACSV2;1897;2049,00;2207;96,99;18;25,30;46;7,69
Fattahi20;iterative;EASV2;1788;1997,60;2136;105,00;89;106,70;123;11,33
Fattahi20;iterative;ASV2;1841;2002,90;2126;99,14;36;94,20;112;24,50
Fattahi20;iterative;ACSV2;2011;2151,20;2262;91,31;55;68,20;84;10,42
Fattahi3;iterative;MMASV2;221;234,10;265;18,39;1;2,30;13;3,77
Fattahi3;iterative;ACSV2;221;221,00;221;0,00;3;5,30;14;3,16
Fattahi3;parallel;ASV2;221;229,00;261;16,87;1;4,20;24;6,97
Fattahi3;parallel;RBASV2;221;225,90;255;11,26;2;5,50;29;8,28
Fattahi3;parallel;MMASV2;221;222,50;236;4,74;2;5,00;26;7,39
Fattahi3;iterative;ASV2;221;225,00;261;12,65;1;2,20;13;3,79
Fattahi3;iterative;greedy;298;298,00;298;0,00;0;0,00;0;0,00
Fattahi3;parallel;ACSV2;221;221,00;221;0,00;3;5,50;26;7,23
Fattahi3;parallel;EASV2;221;230,80;274;16,75;2;5,30;27;7,63
Fattahi3;iterative;RBASV2;221;238,60;261;18,64;1;2,60;16;4,72
Fattahi3;iterative;EASV2;221;233,80;255;13,22;1;2,50;14;4,06
Fattahi4;iterative;greedy;542;542,00;542;0,00;0;0,00;0;0,00
Fattahi4;parallel;EASV2;355;389,40;407;19,12;1;4,40;27;7,95
Fattahi4;iterative;MMASV2;355;370,60;407;25,12;2;3,90;13;3,21
Fattahi4;iterative;ASV2;355;379,70;421;25,33;1;2,20;12;3,46
Fattahi4;iterative;EASV2;355;381,30;407;20,99;2;3,70;14;3,65
Fattahi4;parallel;MMASV2;355;366,60;407;21,62;1;3,80;23;6,78
Fattahi4;parallel;RBASV2;355;378,40;407;20,74;3;5,40;27;7,59
Fattahi4;iterative;ACSV2;355;378,90;407;23,29;3;4,40;14;3,41
Fattahi4;iterative;RBASV2;355;370,90;396;18,10;1;2,60;16;4,72
Fattahi4;parallel;ACSV2;355;370,80;407;20,70;3;5,50;27;7,56
Fattahi4;parallel;ASV2;355;370,80;407;20,70;2;4,60;25;7,18
Fattahi5;parallel;MMASV2;119;123,40;134;5,89;3;5,20;25;6,96
Fattahi5;parallel;ACSV2;119;122,60;128;4,65;3;5,60;28;7,88
Fattahi5;iterative;ASV2;119;124,80;141;7,24;1;2,50;13;3,72
Fattahi5;iterative;ACSV2;119;122,30;134;5,56;3;4,20;13;3,12
Fattahi5;parallel;RBASV2;119;126,70;141;6,63;1;4,90;27;7,80
Fattahi5;iterative;MMASV2;119;123,00;135;6,68;1;2,40;13;3,75
Fattahi5;iterative;EASV2;119;128,70;156;13,00;1;2,60;14;4,06
Fattahi5;iterative;RBASV2;119;121,80;129;4,52;3;4,50;18;4,74
Fattahi5;parallel;ASV2;119;122,60;128;4,65;2;5,00;27;7,75
Fattahi5;iterative;greedy;176;176,00;176;0,00;0;0,00;0;0,00
Fattahi5;parallel;EASV2;119;127,00;134;4,59;2;5,40;27;7,60
Fattahi6;iterative;MMASV2;320;329,40;367;17,62;3;5,10;15;3,54
Fattahi6;iterative;greedy;397;397,00;397;0,00;0;0,00;0;0,00
Fattahi6;parallel;MMASV2;320;334,10;367;18,73;3;5,90;24;6,38
Fattahi6;iterative;RBASV2;320;346,50;387;24,59;2;4,20;17;4,52
Fattahi6;iterative;EASV2;320;345,10;410;29,98;2;3,20;14;3,79
Fattahi6;iterative;ACSV2;320;324,70;357;11,78;4;6,50;15;3,17
Fattahi6;parallel;ACSV2;320;341,70;410;35,37;3;6,10;27;7,42
Fattahi6;iterative;ASV2;320;343,40;390;23,58;1;2,80;14;3,97
Fattahi6;parallel;EASV2;320;346,70;417;41,07;3;6,00;26;7,09
Fattahi6;parallel;ASV2;320;352,50;397;28,68;2;4,80;25;7,13
Fattahi6;parallel;RBASV2;320;329,40;367;17,62;3;6,60;30;8,25
Fattahi7;iterative;RBASV2;397;408,00;432;11,27;2;4,00;18;4,94
Fattahi7;parallel;ASV2;397;409,30;432;12,28;3;5,70;26;7,17
Fattahi7;parallel;ACSV2;397;400,10;412;5,34;3;6,10;27;7,40
Fattahi7;parallel;EASV2;397;409,60;437;12,87;3;6,40;27;7,29
Fattahi7;parallel;RBASV2;397;408,20;434;13,68;3;6,10;30;8,43
