Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
Fattahi17;parallel;EASV1;1322;1512,40;1652;87,71;293;497,60;1278;206,72
Fattahi17;iterative;greedy;1746;1746,00;1746;0,00;0;0,00;0;0,00
Fattahi17;iterative;ACSV1;1234;1484,10;1656;96,24;64;142,43;655;108,93
Fattahi17;iterative;ASV1;1320;1573,00;1720;97,92;284;399,80;680;122,94
Fattahi17;parallel;ACSV1;1262;1511,97;1682;95,87;29;64,93;192;41,19
Fattahi18;iterative;greedy;1953;1953,00;1953;0,00;0;0,00;0;0,00
Fattahi18;parallel;ASV1;1277;1699,13;1859;117,08;348;497,30;1191;172,72
Fattahi18;iterative;RBASV1;1486;1639,47;1833;80,58;332;540,17;1194;227,21
Fattahi18;iterative;ACSV1;1427;1650,70;1770;88,85;78;168,13;796;132,62
Fattahi18;parallel;ACSV1;1357;1625,93;1838;111,30;31;87,27;205;49,01
Fattahi18;iterative;ASV1;1404;1683,87;1897;107,08;374;519,13;828;130,26
Fattahi18;parallel;EASV1;1377;1618,10;1790;93,09;380;657,03;1126;227,88
Fattahi18;iterative;MMASV1;1492;1622,93;1752;72,65;73;156,13;724;118,81
Fattahi18;iterative;EASV1;1465;1631,37;1841;110,02;424;760,90;1424;292,42
Fattahi18;parallel;RBASV1;1444;1610,50;1814;92,48;213;378,97;699;164,10
Fattahi18;parallel;MMASV1;1367;1596,60;1803;99,25;31;77,60;202;47,58
Fattahi19;parallel;EASV1;1797;2045,73;2244;117,26;711;1152,83;2145;417,55
Fattahi19;iterative;ASV1;1756;2130,83;2377;134,39;781;1040,57;2233;345,92
Fattahi19;parallel;ACSV1;1789;2084,70;2353;136,99;39;100,43;288;66,98
Fattahi19;iterative;greedy;1990;1990,00;1990;0,00;0;0,00;0;0,00
Fattahi19;parallel;ASV1;1919;2112,27;2277;81,04;684;904,63;1410;210,76
Fattahi19;iterative;RBASV1;1692;2075,07;2275;109,96;469;805,03;1583;259,90
Fattahi19;iterative;EASV1;1847;2055,80;2396;125,55;822;1482,17;2603;554,33
Fattahi19;iterative;MMASV1;1773;2027,47;2201;105,88;150;279,70;557;111,46
Fattahi19;parallel;MMASV1;1804;2012,80;2190;99,47;52;125,07;359;62,49
Fattahi19;parallel;RBASV1;1889;2055,43;2204;87,73;360;612,73;1134;186,72
Fattahi19;iterative;ACSV1;1874;2098,37;2336;123,01;132;225,43;561;103,81
Fattahi2;iterative;ASV1;78;99,87;128;18,50;1;2,87;21;3,63
Fattahi2;parallel;EASV1;78;97,07;128;15,24;2;4,83;29;4,71
Fattahi2;iterative;ACSV1;78;82,83;107;10,99;3;4,73;19;2,97
Fattahi2;parallel;ACSV1;78;78,97;107;5,29;2;4,20;25;4,03
Fattahi2;iterative;RBASV1;78;97,23;128;18,42;3;5,60;25;4,01
Fattahi2;parallel;MMASV1;78;87,40;128;15,06;1;3,30;24;4,16
Fattahi2;parallel;RBASV1;78;89,60;107;14,45;1;4,00;30;5,05
Fattahi2;iterative;MMASV1;78;82,57;128;12,31;1;2,20;19;3,31
Fattahi2;iterative;EASV1;78;87,40;128;15,06;2;3,20;22;3,63
Fattahi2;iterative;greedy;135;135,00;135;0,00;0;0,00;0;0,00
Fattahi2;parallel;ASV1;78;98,03;128;14,90;4;6,30;25;3,82
Fattahi20;parallel;MMASV1;2159;2478,67;2723;119,14;56;138,37;324;71,73
Fattahi20;parallel;ASV1;2236;2625,80;2843;154,37;950;1170,13;1740;204,63
Fattahi20;parallel;EASV1;2015;2475,80;2752;166,92;1049;1773,17;2809;539,81
Fattahi20;iterative;greedy;1990;1990,00;1990;0,00;0;0,00;0;0,00
Fattahi20;iterative;ACSV1;2252;2661,07;2976;156,93;170;257,37;800;118,74
Fattahi20;parallel;RBASV1;2270;2518,50;2851;154,42;459;755,60;1570;283,80
Fattahi20;parallel;ACSV1;2180;2619,87;2983;178,00;48;99,73;290;51,22
Fattahi20;iterative;MMASV1;2072;2447,23;2748;130,02;211;398,17;813;162,33
Fattahi20;iterative;ASV1;2325;2623,97;2859;152,00;1083;1380,43;2790;344,43
Fattahi20;iterative;EASV1;2241;2525,37;2732;107,73;1175;1838,67;3127;504,73
Fattahi20;iterative;RBASV1;2134;2545,07;2774;153,55;603;1060,03;1889;377,28
Fattahi3;iterative;MMASV1;208;226,63;265;16,59;2;4,73;25;4,09
Fattahi3;iterative;ACSV1;178;225,20;236;14,48;6;9,77;28;4,51
Fattahi3;parallel;RBASV1;208;244,90;298;21,57;5;11,43;36;6,06
Fattahi3;iterative;EASV1;208;244,97;298;24,54;6;11,43;33;6,04
Fattahi3;iterative;RBASV1;208;231,90;265;14,83;5;8,73;30;4,97
Fattahi3;parallel;EASV1;208;233,33;274;18,25;8;16,10;36;8,01
Fattahi3;iterative;greedy;316;316,00;316;0,00;0;0,00;0;0,00
Fattahi3;iterative;ASV1;208;256,40;304;23,37;5;7,57;24;3,46
Fattahi3;parallel;ACSV1;208;222,97;236;12,89;3;6,70;28;4,57
Fattahi3;parallel;ASV1;211;255,93;298;21,60;6;12,17;38;6,31
Fattahi3;parallel;MMASV1;208;224,87;266;13,51;3;7,17;29;4,86
Fattahi4;iterative;greedy;421;421,00;421;0,00;0;0,00;0;0,00
Fattahi4;parallel;RBASV1;322;350,97;407;30,10;5;11,43;36;5,64
Fattahi4;iterative;MMASV1;322;354,37;396;26,81;2;4,43;21;3,53
Fattahi4;iterative;EASV1;322;361,37;407;29,62;6;11,17;39;6,58
Fattahi4;parallel;ASV1;322;357,90;396;23,66;6;12,33;38;6,06
Fattahi4;parallel;ACSV1;303;336,10;407;28,84;3;6,53;29;4,64
Fattahi4;iterative;ASV1;322;349,10;407;29,74;5;9,23;26;4,75
Fattahi4;parallel;EASV1;322;353,60;407;28,64;8;17,07;39;6,88
Fattahi4;parallel;MMASV1;278;355,50;407;30,97;2;5,80;36;6,11
Fattahi4;iterative;ACSV1;322;339,20;407;30,13;6;10,07;29;4,85
Fattahi4;iterative;RBASV1;322;353,70;407;34,66;4;9,27;30;5,01
Fattahi5;parallel;ACSV1;72;86,80;114;17,94;4;8,73;32;5,32
Fattahi5;iterative;RBASV1;72;115,90;143;15,02;7;16,53;40;7,48
Fattahi5;iterative;ACSV1;72;83,60;114;17,48;8;20,47;37;8,26
Fattahi5;iterative;EASV1;72;114,63;141;13,92;9;18,20;40;7,30
Fattahi5;iterative;MMASV1;72;109,50;141;20,27;2;7,27;29;5,25
